taxonID	parentNameUsageID	scientificNameID	scientificName	scientificNameAuthorship	namePublishedInYear	CommonName	vernacularName	taxonRankID	taxonRank
248422	1012913	urn:lsid:dyntaxa.se:Taxon:248422	Macrobiotus longipes	Mihelčič	1971			17	Species
248423	1012913	urn:lsid:dyntaxa.se:Taxon:248423	Macrobiotus luteus	Thulin	1928			17	Species
6007330	1012913	urn:lsid:dyntaxa.se:Taxon:6007330	Macrobiotus macrocalix	Bertolani & Rebecchi	1993			17	Species
248424	1012913	urn:lsid:dyntaxa.se:Taxon:248424	Macrobiotus montanus	J.Murray	1910			17	Species
248425	1012913	urn:lsid:dyntaxa.se:Taxon:248425	Macrobiotus occidantalis	J.Murray	1910			17	Species
248426	1012913	urn:lsid:dyntaxa.se:Taxon:248426	Macrobiotus orcadensis	J.Murray	1907			17	Species
248428	1012913	urn:lsid:dyntaxa.se:Taxon:248428	Macrobiotus spectabilis	Thulin	1928			17	Species
6007332	1012913	urn:lsid:dyntaxa.se:Taxon:6007332	Macrobiotus terminalis	Bertolani & Rebecchi	1993			17	Species
248429	1013419	urn:lsid:dyntaxa.se:Taxon:248429	Minibiotus intermedius	Plate	1888			17	Species
6007333	6007331	urn:lsid:dyntaxa.se:Taxon:6007333	Paramacrobiotus areolatus	J.Murray	1907			17	Species
248427	6007331	urn:lsid:dyntaxa.se:Taxon:248427	Paramacrobiotus richtersi	J.Murray	1911			17	Species
248430	1013420	urn:lsid:dyntaxa.se:Taxon:248430	Richtersius coronifer	Richters	1903			17	Species
248413	1013418	urn:lsid:dyntaxa.se:Taxon:248413	Dactylobiotus ambiguus	J.Murray	1907			17	Species
248414	1013418	urn:lsid:dyntaxa.se:Taxon:248414	Dactylobiotus ampullaceus	Thulin	1911			17	Species
248415	1013418	urn:lsid:dyntaxa.se:Taxon:248415	Dactylobiotus dispar	J.Murray	1907			17	Species
248416	1013418	urn:lsid:dyntaxa.se:Taxon:248416	Dactylobiotus macronyx	Dujardin	1851			17	Species
6007336	1013418	urn:lsid:dyntaxa.se:Taxon:6007336	Dactylobiotus octavi	Guidetti et al.	2006			17	Species
6007337	6007328	urn:lsid:dyntaxa.se:Taxon:6007337	Murrayon dianeae	Kristensen	1982			17	Species
6007338	6007328	urn:lsid:dyntaxa.se:Taxon:6007338	Murrayon hastatus	J.Murray	1907			17	Species
248419	6007328	urn:lsid:dyntaxa.se:Taxon:248419	Murrayon hibernicus	J.Murray	1911			17	Species
6007339	6007328	urn:lsid:dyntaxa.se:Taxon:6007339	Murrayon pullari	J.Murray	1907			17	Species
6007169	1011032	urn:lsid:dyntaxa.se:Taxon:6007169	Batillipes bullacaudatus	McGinty & Higgins	1968			17	Species
